appliance: ['microwave', 'refrigerator', 'dishwasher', 'toaster', 'oven', 0.30, 'kitchen']
armchair: ['chair', 'couch', 'ottoman', 'recliner', 0.45, 'living room']
backpack: ['handbag', 'suitcase', 'bag', 'box', 0.30, 'everywhere']
bag: ['backpack', 'handbag', 'suitcase', 'pillow', 0.28, 'everywhere']
balustrade: ['railing', 'handrail', 'stairs railing', 'fence', 0.40, 'everywhere']
bar chair: ['stool', 'dining chair', 'chair', 'office chair', 0.38, 'kitchen']
basket: ['box', 'container', 'bag', 'bowl of fruit', 0.28, 'everywhere']
bath cabinet: ['cabinet', 'sink cabinet', 'bathroom cabinet', 'dresser', 0.45, 'bathroom']
bath sink: ['sink', 'washbasin', 'countertop', 'bathtub', 0.50, 'bathroom']
bath towel: ['towel', 'cloth', 'blanket', 'bathrobe', 0.25, 'bathroom']
bathrobe: ['towel', 'cloth', 'blanket', 'bath towel', 0.28, 'bathroom']
bathroom cabinet: ['cabinet', 'bath cabinet', 'sink cabinet', 'dresser', 0.45, 'bathroom']
bathroom counter: ['countertop', 'kitchen counter', 'worktop', 'bathroom cabinet', 0.45, 'bathroom']
bathroom towel: ['towel', 'bath towel', 'cloth', 'bathrobe', 0.25, 'bathroom']
bathtub: ['shower', 'shower tub', 'sink', 'bathtub platform', 0.55, 'bathroom']
bathtub platform: ['bathtub', 'countertop', 'shower tub', 'bathroom counter', 0.42, 'bathroom']
bed: ['couch', 'sofa chair', 'bedframe', 'crib', 0.65, 'bedroom']
bed sheet: ['blanket', 'cloth', 'curtain', 'tablecloth', 0.28, 'bedroom']
bed table: ['nightstand', 'table', 'lamp table', 'desk', 0.40, 'bedroom']
bedframe: ['bed', 'cabinet', 'crib', 'drawer', 0.48, 'bedroom']
bedside lamp: ['lamp', 'table lamp', 'desk chair', 'nightstand', 0.35, 'bedroom']
bench: ['chair', 'stool', 'footrest', 'spa bench', 0.42, 'everywhere']
bicycle: ['exercise bike', 'exercise equipment', 'folding chair', 'clothes rack', 0.50, 'everywhere']
blanket: ['bed sheet', 'cloth', 'throw blanket', 'curtain', 0.25, 'bedroom']
blinds: ['curtain', 'window curtain', 'window shade', 'window shutter', 0.35, 'everywhere']
board: ['shelf', 'cabinet', 'cardboard box', 'note', 0.30, 'everywhere']
boiler: ['water heater', 'furnace', 'heater', 'appliance', 0.42, 'everywhere']
book: ['box', 'note', 'photo', 'calendar', 0.28, 'everywhere']
bookshelf: ['shelf', 'cabinet', 'closet', 'display cabinet', 0.48, 'living room']
bowl of fruit: ['bowl of fruit', 'basket', 'container', 'vase', 0.30, 'kitchen']
box: ['container', 'basket', 'case', 'cardboard box', 0.28, 'everywhere']
cabinet: ['dresser', 'closet', 'bookshelf', 'drawer', 0.48, 'everywhere']
cabinet table: ['table', 'cabinet', 'desk', 'dresser', 0.42, 'everywhere']
calendar: ['picture', 'photo', 'note', 'board', 0.25, 'everywhere']
cardboard box: ['box', 'container', 'basket', 'case', 0.28, 'everywhere']
carpet: ['rug', 'curtain', 'blanket', 'cloth', 0.35, 'everywhere']
case: ['box', 'container', 'suitcase', 'basket', 0.28, 'everywhere']
chair: ['armchair', 'stool', 'bench', 'dining chair', 0.42, 'everywhere']
chest drawer: ['dresser', 'chest of drawers', 'cabinet', 'nightstand', 0.45, 'bedroom']
chest of drawers: ['dresser', 'chest drawer', 'cabinet', 'nightstand', 0.45, 'bedroom']
christmas tree: ['plant', 'decorative plant', 'flag', 'statue', 0.40, 'living room']
closet: ['cabinet', 'wardrobe', 'dresser', 'bookshelf', 0.48, 'bedroom']
closet shelf: ['shelf', 'closet', 'bookshelf', 'cabinet', 0.40, 'bedroom']
cloth: ['towel', 'blanket', 'bag', 'cushion', 0.25, 'everywhere']
clothes: ['cloth', 'hanging clothes', 'towel', 'blanket', 0.25, 'bedroom']
clothes dryer: ['washing machine', 'washer-dryer', 'dishwasher', 'appliance', 0.48, 'everywhere']
clothes hanger rod: ['clothes rack', 'curtain rod', 'railing', 'hanger', 0.32, 'bedroom']
clothes rack: ['clothes hanger rod', 'rack', 'shelf', 'hanger', 0.35, 'bedroom']
